frame,time_s,teacher_boxes,student_boxes,count_gap,disagreement
Incredible_traffic_Sound_in__0019756,659.2,14,14,0,0.0
Incredible_traffic_Sound_in__0020041,668.7,13,13,0,0.0
Incredible_traffic_Sound_in__0020236,675.2,15,15,0,0.0
Incredible_traffic_Sound_in__0020326,678.2,13,13,0,0.0
Incredible_traffic_Sound_in__0021451,715.7,14,14,0,0.0
Incredible_traffic_Sound_in__0022381,746.8,14,14,0,0.0
Incredible_traffic_Sound_in__0022666,756.3,21,21,0,0.0
Incredible_traffic_Sound_in__0022876,763.3,17,17,0,0.0
Incredible_traffic_Sound_in__0023116,771.3,10,10,0,0.0
Incredible_traffic_Sound_in__0023326,778.3,16,16,0,0.0
Incredible_traffic_Sound_in__0023386,780.3,13,13,0,0.0
Incredible_traffic_Sound_in__0023416,781.3,12,12,0,0.0
Incredible_traffic_Sound_in__0023536,785.3,13,13,0,0.0
Incredible_traffic_Sound_in__0023836,795.3,11,11,0,0.0
Incredible_traffic_Sound_in__0024046,802.3,14,14,0,0.0
Incredible_traffic_Sound_in__0024136,805.3,17,17,0,0.0
Incredible_traffic_Sound_in__0024151,805.8,17,17,0,0.0
Incredible_traffic_Sound_in__0024181,806.8,13,13,0,0.0
Incredible_traffic_Sound_in__0024706,824.4,18,18,0,0.0
Incredible_traffic_Sound_in__0024871,829.9,18,18,0,0.0
Incredible_traffic_Sound_in__0024961,832.9,21,21,0,0.0
Incredible_traffic_Sound_in__0025831,861.9,9,9,0,0.0
Incredible_traffic_Sound_in__0026221,874.9,17,17,0,0.0
Incredible_traffic_Sound_in__0026266,876.4,18,18,0,0.0
Incredible_traffic_Sound_in__0026491,883.9,18,18,0,0.0
Incredible_traffic_Sound_in__0026506,884.4,18,18,0,0.0
Incredible_traffic_Sound_in__0026626,888.4,11,11,0,0.0
Incredible_traffic_Sound_in__0026986,900.4,13,13,0,0.0
Incredible_traffic_Sound_in__0027016,901.4,12,12,0,0.0
Incredible_traffic_Sound_in__0027241,908.9,17,17,0,0.0
Incredible_traffic_Sound_in__0027541,919.0,17,17,0,0.0
Incredible_traffic_Sound_in__0027556,919.5,13,13,0,0.0
Incredible_traffic_Sound_in__0027616,921.5,16,16,0,0.0
Incredible_traffic_Sound_in__0027901,931.0,15,15,0,0.0
Incredible_traffic_Sound_in__0027976,933.5,17,17,0,0.0
Incredible_traffic_Sound_in__0028051,936.0,15,15,0,0.0
Incredible_traffic_Sound_in__0028066,936.5,17,17,0,0.0
Incredible_traffic_Sound_in__0028141,939.0,12,12,0,0.0
Incredible_traffic_Sound_in__0028321,945.0,15,15,0,0.0
Incredible_traffic_Sound_in__0028351,946.0,15,15,0,0.0
Incredible_traffic_Sound_in__0028441,949.0,15,15,0,0.0
Incredible_traffic_Sound_in__0028621,955.0,15,15,0,0.0
Incredible_traffic_Sound_in__0029236,975.5,11,11,0,0.0
Incredible_traffic_Sound_in__0029266,976.5,10,10,0,0.0
Incredible_traffic_Sound_in__0029941,999.0,11,11,0,0.0
Incredible_traffic_Sound_in__0030091,1004.0,18,18,0,0.0
Incredible_traffic_Sound_in__0030586,1020.6,15,15,0,0.0
Incredible_traffic_Sound_in__0030646,1022.6,11,11,0,0.0
Incredible_traffic_Sound_in__0031321,1045.1,12,12,0,0.0
Incredible_traffic_Sound_in__0031726,1058.6,13,13,0,0.0
Incredible_traffic_Sound_in__0032506,1084.6,11,11,0,0.0
Incredible_traffic_Sound_in__0032851,1096.1,11,11,0,0.0
Incredible_traffic_Sound_in__0033046,1102.6,11,11,0,0.0
Incredible_traffic_Sound_in__0033091,1104.1,8,8,0,0.0
Incredible_traffic_Sound_in__0033106,1104.6,9,9,0,0.0
Incredible_traffic_Sound_in__0033211,1108.1,7,7,0,0.0
Incredible_traffic_Sound_in__0033226,1108.6,6,6,0,0.0
Incredible_traffic_Sound_in__0033286,1110.6,7,7,0,0.0
Incredible_traffic_Sound_in__0033301,1111.1,7,7,0,0.0
Incredible_traffic_Sound_in__0033496,1117.6,13,13,0,0.0
Incredible_traffic_Sound_in__0033511,1118.2,12,12,0,0.0
Incredible_traffic_Sound_in__0033541,1119.2,17,17,0,0.0
Incredible_traffic_Sound_in__0033556,1119.7,14,14,0,0.0
Incredible_traffic_Sound_in__0033691,1124.2,9,9,0,0.0
Incredible_traffic_Sound_in__0033721,1125.2,8,8,0,0.0
Incredible_traffic_Sound_in__0033781,1127.2,10,10,0,0.0
Incredible_traffic_Sound_in__0033961,1133.2,9,9,0,0.0
Incredible_traffic_Sound_in__0034066,1136.7,13,13,0,0.0
Incredible_traffic_Sound_in__0034291,1144.2,12,12,0,0.0
Incredible_traffic_Sound_in__0034306,1144.7,11,11,0,0.0
Incredible_traffic_Sound_in__0034471,1150.2,14,14,0,0.0
Incredible_traffic_Sound_in__0035251,1176.2,13,13,0,0.0
Incredible_traffic_Sound_in__0035506,1184.7,9,9,0,0.0
Incredible_traffic_Sound_in__0035731,1192.2,11,11,0,0.0
