config,n_sequences,timesteps,steps,lr,seed,trainable_params,initial_loss,final_loss,accuracy,macro_f1,seconds,gate_mean,n,weighted_f1,ordinal_mae,off_by_two_rate,qwk,precision_low,recall_low,f1_low,support_low,precision_medium,recall_medium,f1_medium,support_medium,precision_high,recall_high,f1_high,support_high,cm_low_as_low,cm_low_as_medium,cm_low_as_high,cm_medium_as_low,cm_medium_as_medium,cm_medium_as_high,cm_high_as_low,cm_high_as_medium,cm_high_as_high
A,10,12,400,0.0001,42,1348867,1.10334,0.000298,1.0,1.0,25.9,,40,1.0,0.0,0.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,16,1.0,1.0,1.0,10,14,0,0,0,16,0,0,0,10
B,10,12,400,0.0001,42,922883,1.1228,0.000259,1.0,1.0,14.7,,40,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,15,1.0,1.0,1.0,18,7,0,0,0,15,0,0,0,18
C,10,12,400,0.0001,42,1578755,1.09969,0.000261,1.0,1.0,40.1,,40,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21,1.0,1.0,1.0,14,1.0,1.0,1.0,5,21,0,0,0,14,0,0,0,5
D,10,12,400,0.0001,42,1710595,1.0973,0.000299,1.0,1.0,62.2,,40,1.0,0.0,0.0,1.0,1.0,1.0,1.0,13,1.0,1.0,1.0,14,1.0,1.0,1.0,13,13,0,0,0,14,0,0,0,13
E,10,12,400,0.0001,42,1973763,1.10785,0.000268,1.0,1.0,90.4,,40,1.0,0.0,0.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,15,1.0,1.0,1.0,15,10,0,0,0,15,0,0,0,15
F,10,12,400,0.0001,42,3028228,1.17406,0.000316,1.0,1.0,110.8,,40,1.0,0.0,0.0,1.0,1.0,1.0,1.0,17,1.0,1.0,1.0,9,1.0,1.0,1.0,14,17,0,0,0,9,0,0,0,14
G,10,12,400,0.0001,42,3028741,1.05241,0.000297,1.0,1.0,109.7,0.4999,40,1.0,0.0,0.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,11,1.0,1.0,1.0,19,10,0,0,0,11,0,0,0,19
H,10,12,400,0.0001,42,755715,1.1383,0.001162,1.0,1.0,34.5,,40,1.0,0.0,0.0,1.0,1.0,1.0,1.0,16,1.0,1.0,1.0,7,1.0,1.0,1.0,17,16,0,0,0,7,0,0,0,17
