run,video,detector,conf,frame_index,time_s,count
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,23,115,15
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,24,120,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,25,125,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,26,130,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,27,135,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,28,140,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,29,145,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,30,150,7
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,31,155,9
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,32,160,13
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,33,165,11
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,34,170,10
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,35,175,18
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,36,180,13
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,37,185,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,38,190,10
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,39,195,17
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,40,200,15
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,41,205,15
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,42,210,8
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,43,215,20
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,44,220,17
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,45,225,15
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,46,230,19
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,47,235,26
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,48,240,11
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,49,245,9
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,50,250,16
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,51,255,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,52,260,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,53,265,17
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,54,270,20
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,55,275,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,56,280,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,57,285,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,58,290,11
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,59,295,11
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,60,300,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,61,305,11
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,62,310,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,63,315,9
